Source,Target
facilities,station
facilities,stations
centers,Center
software,Windows
software,spreadsheet
data,names
data,use
data,GDP
data,temperature
data,rates
funds,Fund
effects,gain
effects,diarrhea
effects,disruption
effects,constipation
effects,radiation
effects,headache
effects,problems
problems,system
problems,unemployment
problems,drug
problems,pressure
problems,environment
problems,pollution
problems,anxiety
problems,delinquency
problems,commitment
problems,blood
problems,rates
problems,breath
problems,alcoholism
problems,pregnancy
problems,rights
problems,crime
problems,housing
problems,change
problems,breakdown
problems,depression
problems,shortness
problems,cancer
problems,illness
problems,injustice
problems,racism
problems,disorders
problems,malaria
problems,climate
problems,failure
problems,control
problems,nausea
problems,performance
problems,substance
problems,fear
problems,AIDS
problems,poverty
problems,air
problems,abuse
problems,erosion
problems,growth
problems,damage
problems,loss
problems,attack
problems,alcohol
problems,development
problems,violence
problems,water
rights,speech
rights,freedom
disorders,cord
disorders,atrophy
disorders,stroke
disorders,pain
disorders,syndrome
disorders,hypertension
disorders,schizophrenia
disorders,obesity
disorders,spinal
disorders,multiple
disorders,injury
disorders,autism
disorders,ALS
disorders,addiction
disorders,dementia
disorders,epilepsy
disorders,disease
disorders,sclerosis
disease,diabetes
disease,asthma
disease,heart
chronic disease,disease
disease,diabetes
disease,asthma
disease,heart
research,studies
matters,welfare
matters,selection
matters,advice
matters,privacy
matters,costs
matters,enforcement
matters,finance
matters,protection
matters,rights
matters,age
matters,projects
matters,marriage
matters,copyright
matters,procedure
matters,divorce
costs,services
costs,depreciation
costs,interest
costs,overhead
costs,cost
services,mediation
services,marketing
services,health
services,removal
services,shipping
services,consultation
services,Internet
services,personnel
services,care
services,response
services,facilities
services,support
services,customer
services,software
services,planning
services,exchange
services,distribution
services,banking
services,family
services,dialysis
services,management
services,child
services,placement
services,monitoring
services,access
services,voice
services,translation
services,trust
services,physician
services,storage
services,data
services,police
services,housing
services,treatment
services,processing
services,telephone
services,training
services,control
services,funds
services,accommodation
services,surgery
services,insurance
services,prenatal
services,therapy
services,emergency
services,guidance
services,e-mail
services,repair
services,assistance
services,transportation
services,home
services,development
facilities,pool
facilities,shop
facilities,library
facilities,centers
facilities,Hospital
facilities,laboratory
facilities,store
facilities,center
facilities,station
facilities,stations
centers,Center
software,Windows
software,spreadsheet
data,names
data,use
data,GDP
data,temperature
data,rates
funds,Fund
rights,speech
rights,freedom
projects,studies
projects,University
projects,facilities
facilities,pool
facilities,shop
facilities,library
facilities,centers
facilities,Hospital
facilities,laboratory
facilities,store
facilities,center
facilities,station
facilities,stations
centers,Center
disabilities,palsy
disabilities,autism
disabilities,retardation
disabilities,mental
infrastructure,network
infrastructure,transportation
infrastructure,communications
infrastructure,roads
infrastructure,housing
infrastructure,facilities
infrastructure,systems
facilities,pool
facilities,shop
facilities,library
facilities,centers
facilities,Hospital
facilities,laboratory
facilities,store
facilities,center
facilities,station
facilities,stations
centers,Center
systems,aircraft
systems,security
documentation,data
data,names
data,use
data,GDP
data,temperature
data,rates
institutes,Institute
institutes,Center
abnormalities,disease
disease,diabetes
disease,asthma
disease,heart
emerging markets,India
emerging markets,China
technology,computer
technology,systems
systems,aircraft
systems,security
organs,lungs
organs,liver
organs,heart
organs,kidney
organs,lung
positions,secretary
positions,President
positions,management
difficulties,problems
problems,system
problems,unemployment
problems,drug
problems,pressure
problems,environment
problems,pollution
problems,anxiety
problems,delinquency
problems,commitment
problems,blood
problems,rates
problems,breath
problems,alcoholism
problems,pregnancy
problems,rights
problems,crime
problems,housing
problems,change
problems,breakdown
problems,depression
problems,shortness
problems,cancer
problems,illness
problems,injustice
problems,racism
problems,disorders
problems,malaria
problems,climate
problems,failure
problems,control
problems,nausea
problems,performance
problems,substance
problems,fear
problems,AIDS
problems,poverty
problems,air
problems,abuse
problems,erosion
problems,growth
problems,damage
problems,loss
problems,attack
problems,alcohol
problems,development
problems,violence
problems,water
rights,speech
rights,freedom
disorders,cord
disorders,atrophy
disorders,stroke
disorders,pain
disorders,syndrome
disorders,hypertension
disorders,schizophrenia
disorders,obesity
disorders,spinal
disorders,multiple
disorders,injury
disorders,autism
disorders,ALS
disorders,addiction
disorders,dementia
disorders,epilepsy
disorders,disease
disorders,sclerosis
disease,diabetes
disease,asthma
disease,heart
means,telephone
means,television
means,communications
categories,services
services,mediation
services,marketing
services,health
services,removal
services,shipping
services,consultation
services,Internet
services,personnel
services,care
services,response
services,facilities
services,support
services,customer
services,software
services,planning
services,exchange
services,distribution
services,banking
services,family
services,dialysis
services,management
services,child
services,placement
services,monitoring
services,access
services,voice
services,translation
services,trust
services,physician
services,storage
services,data
services,police
services,housing
services,treatment
services,processing
services,telephone
services,training
services,control
services,funds
services,accommodation
services,surgery
services,insurance
services,prenatal
services,therapy
services,emergency
services,guidance
services,e-mail
services,repair
services,assistance
services,transportation
services,home
services,development
facilities,pool
facilities,shop
facilities,library
facilities,centers
facilities,Hospital
facilities,laboratory
facilities,store
facilities,center
facilities,station
facilities,stations
centers,Center
software,Windows
software,spreadsheet
data,names
data,use
data,GDP
data,temperature
data,rates
funds,Fund
powers,Iran
details,numbers
details,age
values,fairness
values,health
values,freedom
values,honesty
values,democracy
equipment,systems
systems,aircraft
systems,security
nations,United
nations,Vietnam
nations,China
nations,India
nations,States
nations,Kingdom
nations,France
nations,Union
nations,England
nations,Peru
nations,Iran
nations,Argentina
nations,Brazil
nations,Japan
nations,Cuba
nations,Mexico
nations,Canada
nations,Britain
needs,costs
needs,maintenance
costs,services
costs,depreciation
costs,interest
costs,overhead
costs,cost
services,mediation
services,marketing
services,health
services,removal
services,shipping
services,consultation
services,Internet
services,personnel
services,care
services,response
services,facilities
services,support
services,customer
services,software
services,planning
services,exchange
services,distribution
services,banking
services,family
services,dialysis
services,management
services,child
services,placement
services,monitoring
services,access
services,voice
services,translation
services,trust
services,physician
services,storage
services,data
services,police
services,housing
services,treatment
services,processing
services,telephone
services,training
services,control
services,funds
services,accommodation
services,surgery
services,insurance
services,prenatal
services,therapy
services,emergency
services,guidance
services,e-mail
services,repair
services,assistance
services,transportation
services,home
services,development
facilities,pool
facilities,shop
facilities,library
facilities,centers
facilities,Hospital
facilities,laboratory
facilities,store
facilities,center
facilities,station
facilities,stations
centers,Center
software,Windows
software,spreadsheet
data,names
data,use
data,GDP
data,temperature
data,rates
funds,Fund
places,stations
places,Mexico
places,Texas
places,University
places,Japan
places,California
places,Gulf
places,Paris
places,Chicago
places,China
places,centers
places,Africa
places,Asia
places,Canada
places,Russia
places,India
centers,Center
devices,memory
devices,PC
devices,tubes
devices,systems
devices,sets
devices,aids
systems,aircraft
systems,security
